school_code,school_name,province,district,Sector,school_location,school_status,school_settings,perc_with_50andplus,on_grid_electricity,has_internet,has_computer_access,avg_classroom_size_2024_25,double_shift,Leadership_marks_avg,Num_leader_records
560706,G S   MVUMBA,East,Ngoma,Murama,RURAL,GOVERNMENT_AIDED,Preprimary + Primary + Ordinal Level + General upper secondary,79.75460052490234,1.0,1,1.0,58.0,0.0,78.9874012298215,2.0
560707,G S   SAKARA,East,Ngoma,Murama,URBAN,PUBLIC,Preprimary + Primary + Ordinal Level,65.95744323730469,1.0,1,1.0,64.0,0.0,74.9673926998521,2.0
560708,G S RURENGE  PROTESTANT,East,Ngoma,Murama,RURAL,GOVERNMENT_AIDED,Preprimary + Primary + Ordinal Level,47.09897613525391,1.0,1,1.0,58.0,0.0,78.05446426260545,2.0
560715,GS RUKIRA,East,Ngoma,Murama,URBAN,PUBLIC,Preprimary + Primary + Ordinal Level,66.5369644165039,1.0,1,0.0,64.0,0.0,81.99788951246215,2.0
560716,EP KABAHUSHI,East,Ngoma,Murama,RURAL,PUBLIC,Preprimary + Primary,76.4119644165039,1.0,1,0.0,64.0,0.0,,
560802,GS BARE,East,Ngoma,Mutenderi,RURAL,GOVERNMENT_AIDED,Preprimary + Primary + Ordinal Level + General upper secondary,54.40000152587891,1.0,1,0.0,58.0,0.0,76.3267522000435,2.0
560803,GS KIBARA,East,Ngoma,Mutenderi,RURAL,PUBLIC,Preprimary + Primary + Ordinal Level,76.47058868408203,1.0,1,1.0,64.0,0.0,71.0350327846916,1.0
560804,GS MATONGO,East,Ngoma,Mutenderi,RURAL,PUBLIC,Preprimary + Primary + Ordinal Level,49.85755157470703,1.0,1,1.0,64.0,0.0,82.53311904727,1.0
560805,GS MUZINGIRA,East,Ngoma,Mutenderi,RURAL,GOVERNMENT_AIDED,Preprimary + Primary + Ordinal Level,59.92366790771484,1.0,1,0.0,58.0,0.0,68.1707378670591,1.0
560806,GS KIBARE II,East,Ngoma,Mutenderi,RURAL,GOVERNMENT_AIDED,Preprimary + Primary + Ordinal Level,71.875,1.0,1,0.0,58.0,0.0,63.1076627257174,1.0
560807,EP KARWEMA,East,Ngoma,Mutenderi,RURAL,PUBLIC,Preprimary + Primary,64.86486053466797,1.0,1,0.0,64.0,0.0,75.463712346905,1.0
560808,EPABA St T̩lesphore,East,Ngoma,Mutenderi,RURAL,PRIVATE,Preprimary + Primary,98.33333587646484,1.0,1,0.0,32.0,0.0,,
560901,GS KABARE I,East,Ngoma,Remera,RURAL,GOVERNMENT_AIDED,Preprimary + Primary + Ordinal Level,72.12020111083984,1.0,1,0.0,58.0,0.0,79.77807563680204,2.0
560902,EP REMERA,East,Ngoma,Remera,RURAL,GOVERNMENT_AIDED,Preprimary + Primary,66.35514068603516,1.0,1,0.0,58.0,0.0,75.5176828936263,1.0
560905,GS NDEKWE,East,Ngoma,Remera,RURAL,GOVERNMENT_AIDED,Preprimary + Primary + Ordinal Level,72.49796295166016,1.0,1,1.0,58.0,0.0,70.85046230899451,2.0
560906,GS NYAMUGARI,East,Ngoma,Remera,RURAL,GOVERNMENT_AIDED,Preprimary + Primary + Ordinal Level + General upper secondary,83.0769271850586,1.0,1,1.0,58.0,0.0,77.3925192750236,2.0
560907,EP RUTARE,East,Ngoma,Remera,RURAL,PUBLIC,Preprimary + Primary,74.3197250366211,1.0,1,0.0,64.0,0.0,75.8376669730503,1.0
560908,EP BUGERA,East,Ngoma,Remera,RURAL,PUBLIC,Preprimary + Primary,67.68707275390625,1.0,1,0.0,64.0,0.0,81.5442665650213,1.0
560909,GS REMERA,East,Ngoma,Remera,RURAL,PUBLIC,Preprimary + Primary + Ordinal Level,80.5882339477539,1.0,1,0.0,64.0,0.0,83.49662819394395,2.0
561002,EP BULIBA,,,,,,,58.50815582275391,,0,,,,,
561003,GS GAHUSHYI,East,Ngoma,Rukira,RURAL,GOVERNMENT_AIDED,Preprimary + Primary + Ordinal Level,47.6821174621582,1.0,1,0.0,58.0,0.0,67.9161414744378,1.0
561004,EP RUGARAGARA,,,,,,,80.91603088378906,,0,,,,,
561006,GS GITUKU,East,Ngoma,Rukira,RURAL,GOVERNMENT_AIDED,Preprimary + Primary + Ordinal Level + General upper secondary,52.7503547668457,1.0,1,1.0,58.0,1.0,77.6363360236917,2.0
561007,GS KIBAYA,East,Ngoma,Rukira,RURAL,GOVERNMENT_AIDED,Preprimary + Primary + Ordinal Level,60.68965911865234,1.0,1,1.0,58.0,0.0,72.51229371606725,2.0
561008,GS NYINYA,East,Ngoma,Rukira,RURAL,GOVERNMENT_AIDED,Preprimary + Primary + Ordinal Level,62.6182975769043,1.0,1,0.0,58.0,0.0,81.0185867276971,2.0
561104,GS GITUZA,,,,,,,69.90921020507812,,0,,,,76.96038898944656,2.0
561105,EP SHOLI,,,,,,,47.495361328125,,0,,,,49.8603773584906,1.0
561107,GS RWINTASHYA,East,Ngoma,Rukumberi,RURAL,GOVERNMENT_AIDED,Primary + Ordinal Level + General upper secondary + TVET,56.45161437988281,1.0,1,1.0,58.0,0.0,79.9305261247473,1.0
561108,EP RUBAGO,East,Ngoma,Rukumberi,RURAL,GOVERNMENT_AIDED,Preprimary + Primary,37.26937103271484,1.0,1,0.0,58.0,0.0,65.6568607765988,1.0
561109,EP NTOVI,East,Ngoma,Rukumberi,RURAL,PUBLIC,Preprimary + Primary,60.70110702514648,1.0,1,0.0,64.0,1.0,,
561110,EP INGANJI,,,,,,,69.9708480834961,,0,,,,83.5617924528302,1.0
561111,GS SHOLI,East,Ngoma,Rukumberi,RURAL,GOVERNMENT_AIDED,Preprimary + Primary + Ordinal Level,26.8907585144043,,1,0.0,58.0,0.0,71.0548776465391,1.0
561112,EP Mugwato,,,,,,,69.4099349975586,,0,,,,,
561113,EP RUBONA,East,Ngoma,Rukumberi,RURAL,GOVERNMENT_AIDED,Preprimary + Primary,63.4920654296875,1.0,1,0.0,58.0,0.0,77.1785262532686,1.0
561202,EP KIGARAMA,East,Ngoma,Rurenge,RURAL,GOVERNMENT_AIDED,Preprimary + Primary,75.05668640136719,1.0,1,0.0,58.0,0.0,82.1455713995884,1.0
561203,RUJAMBARA PS,East,Ngoma,Rurenge,RURAL,GOVERNMENT_AIDED,Preprimary + Primary,57.8125,1.0,1,0.0,58.0,0.0,84.9575512259341,1.0
561204,GS KIRWA,East,Ngoma,Rurenge,RURAL,GOVERNMENT_AIDED,Preprimary + Primary + Ordinal Level + General upper secondary,62.25961303710938,1.0,1,1.0,58.0,0.0,73.0478452108995,2.0
561205,GS MUHURIRE,East,Ngoma,Rurenge,RURAL,GOVERNMENT_AIDED,Preprimary + Primary + Ordinal Level,63.60655975341797,1.0,1,1.0,58.0,1.0,82.33545795266015,2.0
561206,GS MUSYA,,,,,,,91.53604888916016,,0,,,,76.2665093880237,1.0
561207,EP RUGESE,East,Ngoma,Rurenge,RURAL,GOVERNMENT_AIDED,Preprimary + Primary,66.35945129394531,1.0,1,0.0,58.0,0.0,82.6582506308921,1.0
561208,EP AKAGARAMA,East,Ngoma,Rurenge,RURAL,PUBLIC,Preprimary + Primary,62.95454406738281,,1,0.0,64.0,0.0,78.41826257937424,1.0
561301,EP GAFUNZO,,,,,,,68.25153350830078,,0,,,,83.6861635220126,1.0
561302,EP KIBONDE,,,,,,,73.04964447021484,,0,,,,81.4811320754717,1.0
561303,EP NSHILI,East,Ngoma,Sake,RURAL,PUBLIC,Preprimary + Primary,88.57758331298828,1.0,1,0.0,64.0,0.0,,
561304,GS SAKE,East,Ngoma,Sake,RURAL,PUBLIC,Preprimary + Primary + Ordinal Level + General upper secondary,74.64481353759766,1.0,1,0.0,64.0,0.0,75.20986264053221,2.0
561305,GS Kanazi,East,Ngoma,Sake,RURAL,GOVERNMENT_AIDED,Preprimary + Primary + Ordinal Level + General upper secondary,62.35741424560547,1.0,1,1.0,58.0,1.0,86.2638089769487,2.0
561306,GS Rukoma,East,Ngoma,Sake,RURAL,GOVERNMENT_AIDED,Preprimary + Primary + Ordinal Level,59.77653884887695,1.0,1,0.0,58.0,0.0,77.9574493695646,1.0
561308,EP NKANGA,,,,,,,57.76255798339844,,0,,,,74.4353099730458,1.0
561309,EPARU,East,Ngoma,Sake,RURAL,PRIVATE,Preprimary + Primary,100.0,1.0,1,0.0,32.0,0.0,,
561401,EPShywa,,,,,,,72.77227783203125,,0,,,,66.6097035040431,1.0
561403,GS SANGAZA,East,Ngoma,Zaza,RURAL,PUBLIC,Primary + Ordinal Level,76.22640991210938,1.0,1,1.0,64.0,0.0,78.76714867656764,2.0
561404,GSZAZA A,East,Ngoma,Zaza,RURAL,GOVERNMENT_AIDED,Preprimary + Primary + Ordinal Level + General upper secondary,80.92158508300781,1.0,1,0.0,58.0,0.0,73.97772469756745,2.0
